missing_files
29.0629075_-81.31633839999999
28.3114048_-81.3861251
28.066239399999997_-82.5852981
28.7054977_-81.4916188
28.6107548_-81.5584772
28.645773199999997_-81.7629726
31.498334600000003_-97.23633679999999
31.404246099999998_-84.15065
33.3010106_-115.91924150000001
32.4530591_-111.1932973
32.6818453_-97.3229346
32.6496314_-97.05026289999999
32.7325507_-84.01787019999999
36.8020029_-119.8496056
40.162217_-122.2464708
36.7706616_-119.75518000000001
38.8086862_-121.2821948
33.865021299999995_-117.93159159999999
36.4316336_-119.85824009999999
36.7100924_-119.56217900000001
40.634966899999995_-111.4963772
37.4310636_-120.7836225
39.4800445_-82.1648384
39.1551239_-75.5381197
36.1915925_-119.29916749999998
34.1030446_-116.3941153
34.0416375_-117.7903413
34.4601666_-117.41101839999999
37.253696399999995_-121.8442529
36.4329208_-119.69270470000001
36.6203941_-119.68586409999999
36.714431_-119.7221597
36.7558393_-119.7099909
39.2366708_-121.0197052
36.7561416_-119.72672720000001
33.953421399999996_-116.47437439999999
37.4021587_-120.592832
34.3562155_-83.72757330000002
33.9922685_-118.0621802
37.3369442_-120.46023679999999
36.799141999999996_-119.75958920000001
36.795076099999996_-119.77729649999999
33.7948342_-117.9977811
36.6192037_-119.3260609
37.2609464_-121.91171870000001
39.2208089_-121.07096879999999
37.9347504_-121.9703217
36.7478019_-119.82008019999998
31.7574747_-81.709975
31.533723399999996_-84.1334098
26.641194499999997_-80.2947684
33.16285_-117.09947299999999
33.4014999_-116.0389016
33.1061596_-117.24704270000001
33.069202_-96.7533249
32.979987_-115.5231014
34.0239654_-118.43065179999999
36.7889189_-119.76137790000001
39.091276799999996_-120.95549390000001
36.797510599999995_-119.8471263
36.0017669_-120.1306221
45.463167399999996_-91.1041879
40.090810399999995_-83.262878
34.284236_-119.2754443
36.6473586_-119.78910929999999
36.6924081_-119.66178180000001
36.732521999999996_-119.7684019
37.0338654_-121.58840179999999
41.7236839_-71.6493771
41.3371145_-88.3118571
36.796437_-119.7801448
38.146659899999996_-122.25548529999998
36.798359399999995_-119.87743370000001
44.1558014_-87.5490202
37.2485257_-121.83399250000001
36.723811_-119.8207615
39.2672263_-121.02331609999999
45.3459754_-122.9740377
41.8598309_-72.5370035
40.1471713_-87.38794690000002
37.7861449_-122.4363793
41.6953433_-72.6716431
33.9904505_-117.36762820000001
36.800242499999996_-119.7579523
34.2231241_-119.17065050000001
45.005610999999995_-94.30723569999999
28.5828454_-82.1555427
28.2317021_-81.1684678
33.298904799999995_-115.9889194
32.6767731_-117.06469039999999
33.3303817_-115.977543
33.5811632_-117.7077628
32.9862773_-115.546297
32.8127893_-96.7422702
32.4779524_-84.8728498
32.7297843_-117.23051579999999
36.3084997_-119.30850659999999
36.7158665_-119.742526
42.3296679_-122.8437233
36.9400507_-120.0267317
40.1943567_-83.1299081
37.0663209_-121.55350740000002
33.8632755_-98.58157849999999
33.7176518_-117.8881595
37.6986661_-121.42672719999999
39.753497800000005_-99.3287144
33.7797273_-118.3301551
36.6107632_-119.55200640000001
37.2503758_-121.815885
42.0321898_-97.4345718
33.8492226_-118.3797319
37.8851878_-122.53030659999999
38.1634447_-121.69033420000001
37.5013237_-78.0350974
36.849880399999996_-119.54019419999999
34.1177954_-117.15052829999999
36.0923812_-119.56064570000001
38.350067599999996_-120.5100667
39.2244396_-121.0610231
37.517450600000004_-121.9581719
36.7683871_-119.8800413
40.6894037_-104.9934301
40.0519022_-86.0475015
34.046264799999996_-118.43071529999999
39.7511264_-82.9753455
36.6649904_-119.7598312
37.3031589_-121.84461219999999
36.6966179_-119.5634427
32.3534344_-96.6582091
29.9617142_-95.4751808
30.478232199999997_-81.6095651
27.963234999999997_-82.2978349
27.974023700000004_-82.3133442
29.887188199999994_-95.5638412
32.153338999999995_-82.40529579999999
33.5400437_-117.1312571
32.622264099999995_-97.1021663
33.2293222_-96.922347
32.748103_-96.6512436
32.5034224_-83.7211268
32.8171406_-115.37421440000001
38.9972139_-79.1159113
36.3725972_-119.22175360000001
36.855571_-120.45162579999999
36.9565541_-120.0890332
36.7147116_-119.5700564
33.7844869_-118.3910179
33.9922518_-117.97897569999999
37.313061399999995_-80.0200693
36.7234343_-119.7885842
36.7152038_-119.5700515
34.106179_-117.2656552
38.108974499999995_-122.55034569999998
